"Package","Version Installed","Vulnerability ID","Severity"
"login","1:4.13+dfsg1-1+deb12u2","CVE-2024-56433","Low"
"passwd","1:4.13+dfsg1-1+deb12u2","CVE-2024-56433","Low"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2023-2953","High"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2017-17740","Negligible"
"libgnutls30","3.7.9-2+deb12u6","CVE-2011-3389","Negligible"
"tar","1.34+dfsg-1.2+deb12u1","CVE-2005-2541","Negligible"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2015-3276","Negligible"
"apt","2.6.1","CVE-2011-3374","Negligible"
"libapt-pkg6.0","2.6.1","CVE-2011-3374","Negligible"
"libc-bin","2.36-9+deb12u13","CVE-2018-20796","Negligible"
"libc6","2.36-9+deb12u13","CVE-2018-20796","Negligible"
"libgssapi-krb5-2","1.20.1-2+deb12u4","CVE-2018-5709","Negligible"
"libk5crypto3","1.20.1-2+deb12u4","CVE-2018-5709","Negligible"
"libkrb5-3","1.20.1-2+deb12u4","CVE-2018-5709","Negligible"
"libkrb5support0","1.20.1-2+deb12u4","CVE-2018-5709","Negligible"
"dpkg","1.21.22","CVE-2025-6297","High"
"curl","7.88.1-10+deb12u14","CVE-2025-10148","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-10148","Medium"
"libc-bin","2.36-9+deb12u13","CVE-2025-15281","High"
"libc6","2.36-9+deb12u13","CVE-2025-15281","High"
"libtasn1-6","4.19.0-2+deb12u1","CVE-2025-13151","High"
"libc-bin","2.36-9+deb12u13","CVE-2019-1010025","Negligible"
"libc6","2.36-9+deb12u13","CVE-2019-1010025","Negligible"
"libc-bin","2.36-9+deb12u13","CVE-2019-9192","Negligible"
"libc6","2.36-9+deb12u13","CVE-2019-9192","Negligible"
"libgcrypt20","1.10.1-3","CVE-2024-2236","Negligible"
"curl","7.88.1-10+deb12u14","CVE-2026-1965","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-1965","Medium"
"libtinfo6","6.4-4","CVE-2025-6141","Medium"
"ncurses-base","6.4-4","CVE-2025-6141","Medium"
"ncurses-bin","6.4-4","CVE-2025-6141","Medium"
"libc-bin","2.36-9+deb12u13","CVE-2026-4046","High"
"libc-bin","2.36-9+deb12u13","CVE-2026-4437","High"
"libc6","2.36-9+deb12u13","CVE-2026-4046","High"
"libc6","2.36-9+deb12u13","CVE-2026-4437","High"
"bsdutils","1:2.38.1-5+deb12u3","CVE-2026-3184","Low"
"libblkid1","2.38.1-5+deb12u3","CVE-2026-3184","Low"
"libmount1","2.38.1-5+deb12u3","CVE-2026-3184","Low"
"libsmartcols1","2.38.1-5+deb12u3","CVE-2026-3184","Low"
"libuuid1","2.38.1-5+deb12u3","CVE-2026-3184","Low"
"mount","2.38.1-5+deb12u3","CVE-2026-3184","Low"
"util-linux","2.38.1-5+deb12u3","CVE-2026-3184","Low"
"util-linux-extra","2.38.1-5+deb12u3","CVE-2026-3184","Low"
"libc-bin","2.36-9+deb12u13","CVE-2019-1010024","Negligible"
