"Package","Version Installed","Vulnerability ID","Severity"
"libdb5.3","5.3.28+dfsg1-0.8","CVE-2019-8457","Critical"
"login","1:4.8.1-1+deb11u1","CVE-2024-56433","Low"
"passwd","1:4.8.1-1+deb11u1","CVE-2024-56433","Low"
"libldap-2.4-2","2.4.57+dfsg-3+deb11u1","CVE-2023-2953","High"
"libc-bin","2.31-13+deb11u13","CVE-2023-4806","Medium"
"libc6","2.31-13+deb11u13","CVE-2023-4806","Medium"
"curl","7.74.0-1.3+deb11u16","CVE-2024-9681","Medium"
"libcurl4","7.74.0-1.3+deb11u16","CVE-2024-9681","Medium"
"libgcrypt20","1.8.7-6","CVE-2021-33560","High"
"libldap-2.4-2","2.4.57+dfsg-3+deb11u1","CVE-2017-17740","Negligible"
"libgnutls30","3.7.1-5+deb11u9","CVE-2011-3389","Negligible"
"tar","1.34+dfsg-1+deb11u1","CVE-2005-2541","Negligible"
"libc-bin","2.31-13+deb11u13","CVE-2023-4813","Medium"
"libc6","2.31-13+deb11u13","CVE-2023-4813","Medium"
"libzstd1","1.4.8+dfsg-2.1","CVE-2022-4899","High"
"curl","7.74.0-1.3+deb11u16","CVE-2023-23914","Critical"
"libcurl4","7.74.0-1.3+deb11u16","CVE-2023-23914","Critical"
"curl","7.74.0-1.3+deb11u16","CVE-2023-46219","Medium"
"libcurl4","7.74.0-1.3+deb11u16","CVE-2023-46219","Medium"
"libldap-2.4-2","2.4.57+dfsg-3+deb11u1","CVE-2015-3276","Negligible"
"apt","2.2.4","CVE-2011-3374","Negligible"
"libapt-pkg6.0","2.2.4","CVE-2011-3374","Negligible"
"libc-bin","2.31-13+deb11u13","CVE-2018-20796","Negligible"
"libc6","2.31-13+deb11u13","CVE-2018-20796","Negligible"
"libgssapi-krb5-2","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"libk5crypto3","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"libkrb5-3","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"libkrb5support0","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"curl","7.74.0-1.3+deb11u16","CVE-2022-42916","High"
"libcurl4","7.74.0-1.3+deb11u16","CVE-2022-42916","High"
"dpkg","1.20.13","CVE-2025-6297","High"
"libc-bin","2.31-13+deb11u13","CVE-2025-15281","High"
"libc6","2.31-13+deb11u13","CVE-2025-15281","High"
"libtasn1-6","4.16.0-2+deb11u2","CVE-2025-13151","High"
"libssl1.1","1.1.1w-0+deb11u5","CVE-2026-28389","High"
"libssl1.1","1.1.1w-0+deb11u5","CVE-2026-28390","High"
"libc-bin","2.31-13+deb11u13","CVE-2019-1010025","Negligible"
"libc6","2.31-13+deb11u13","CVE-2019-1010025","Negligible"
"libc-bin","2.31-13+deb11u13","CVE-2019-9192","Negligible"
"libc6","2.31-13+deb11u13","CVE-2019-9192","Negligible"
"libgcrypt20","1.8.7-6","CVE-2024-2236","Negligible"
"curl","7.74.0-1.3+deb11u16","CVE-2026-1965","Medium"
"libcurl4","7.74.0-1.3+deb11u16","CVE-2026-1965","Medium"
"libtinfo6","6.2+20201114-2+deb11u2","CVE-2025-6141","Medium"
"ncurses-base","6.2+20201114-2+deb11u2","CVE-2025-6141","Medium"
"ncurses-bin","6.2+20201114-2+deb11u2","CVE-2025-6141","Medium"
"libc-bin","2.31-13+deb11u13","CVE-2026-4046","High"
"libc-bin","2.31-13+deb11u13","CVE-2026-4437","High"
"libc6","2.31-13+deb11u13","CVE-2026-4046","High"
"libc6","2.31-13+deb11u13","CVE-2026-4437","High"
"bsdutils","1:2.36.1-8+deb11u2","CVE-2026-3184","Low"
"libblkid1","2.36.1-8+deb11u2","CVE-2026-3184","Low"
"libmount1","2.36.1-8+deb11u2","CVE-2026-3184","Low"
"libsmartcols1","2.36.1-8+deb11u2","CVE-2026-3184","Low"
"libuuid1","2.36.1-8+deb11u2","CVE-2026-3184","Low"
"mount","2.36.1-8+deb11u2","CVE-2026-3184","Low"
"util-linux","2.36.1-8+deb11u2","CVE-2026-3184","Low"
"libc-bin","2.31-13+deb11u13","CVE-2019-1010024","Negligible"
"libc6","2.31-13+deb11u13","CVE-2019-1010024","Negligible"
"curl","7.74.0-1.3+deb11u16","CVE-2022-43551","High"
"libcurl4","7.74.0-1.3+deb11u16","CVE-2022-43551","High"
"perl-base","5.32.1-4+deb11u4","CVE-2023-31486","Negligible"
"bash","5.1-2+deb11u1","CVE-2022-3715","High"
"libtinfo6","6.2+20201114-2+deb11u2","CVE-2023-50495","Medium"
"ncurses-base","6.2+20201114-2+deb11u2","CVE-2023-50495","Medium"
"ncurses-bin","6.2+20201114-2+deb11u2","CVE-2023-50495","Medium"
"liblzma5","5.2.5-2.1~deb11u1","CVE-2026-34743","Medium"
"libpcre3","2:8.39-13","CVE-2017-7246","Negligible"
