"Package","Version Installed","Vulnerability ID","Severity"
"libssh2-1t64","1.11.1-5","CVE-2026-58050","High"
"perl-base","5.42.2-3","CVE-2026-13221","Critical"
"perl-base","5.42.2-3","CVE-2026-42496","Critical"
"libldap2","2.6.13+dfsg-1+b1","CVE-2017-17740","Negligible"
"libssh2-1t64","1.11.1-5","CVE-2026-58051","High"
"perl-base","5.42.2-3","CVE-2026-12087","Critical"
"perl-base","5.42.2-3","CVE-2026-9538","High"
"perl-base","5.42.2-3","CVE-2026-42497","High"
"libc-bin","2.42-17","CVE-2018-20796","Negligible"
"libc-gconv-modules-extra","2.42-17","CVE-2018-20796","Negligible"
"libc6","2.42-17","CVE-2018-20796","Negligible"
"libldap2","2.6.13+dfsg-1+b1","CVE-2015-3276","Negligible"
"gzip","1.13-1","CVE-2026-41992","High"
"libc-bin","2.42-17","CVE-2026-6238","Medium"
"libc-gconv-modules-extra","2.42-17","CVE-2026-6238","Medium"
"libc6","2.42-17","CVE-2026-6238","Medium"
"tar","1.35+dfsg-4","CVE-2005-2541","Negligible"
"libpam-modules","1.7.0-8","CVE-2026-54411","Medium"
"libpam-modules-bin","1.7.0-8","CVE-2026-54411","Medium"
"libpam-runtime","1.7.0-8","CVE-2026-54411","Medium"
"libpam0g","1.7.0-8","CVE-2026-54411","Medium"
"libssl3t64","3.6.3-1","CVE-2026-54876","High"
"openssl-provider-legacy","3.6.3-1","CVE-2026-54876","High"
"tar","1.35+dfsg-4","CVE-2026-5704","Medium"
"perl-base","5.42.2-3","CVE-2026-7017","High"
"libc-bin","2.42-17","CVE-2026-5435","High"
"libc-gconv-modules-extra","2.42-17","CVE-2026-5435","High"
"libc6","2.42-17","CVE-2026-5435","High"
"libc-bin","2.42-17","CVE-2019-1010022","Negligible"
"libc-gconv-modules-extra","2.42-17","CVE-2019-1010022","Negligible"
"libc6","2.42-17","CVE-2019-1010022","Negligible"
"libc-bin","2.42-17","CVE-2019-1010024","Negligible"
"libc-gconv-modules-extra","2.42-17","CVE-2019-1010024","Negligible"
"libc6","2.42-17","CVE-2019-1010024","Negligible"
"libc-bin","2.42-17","CVE-2019-1010023","Negligible"
"libc-gconv-modules-extra","2.42-17","CVE-2019-1010023","Negligible"
"libc6","2.42-17","CVE-2019-1010023","Negligible"
"libnghttp2-14","1.69.0-1","CVE-2026-58055","Medium"
"login.defs","1:4.19.3-2","CVE-2024-56433","Low"
"passwd","1:4.19.3-2","CVE-2024-56433","Low"
"libc-bin","2.42-17","CVE-2010-4756","Negligible"
"libc-gconv-modules-extra","2.42-17","CVE-2010-4756","Negligible"
"libc6","2.42-17","CVE-2010-4756","Negligible"
"libldap2","2.6.13+dfsg-1+b1","CVE-2020-15719","Negligible"
"libc-bin","2.42-17","CVE-2019-9192","Negligible"
"libc-gconv-modules-extra","2.42-17","CVE-2019-9192","Negligible"
"libc6","2.42-17","CVE-2019-9192","Negligible"
"libc-bin","2.42-17","CVE-2026-6791","Medium"
"libc-gconv-modules-extra","2.42-17","CVE-2026-6791","Medium"
"libc6","2.42-17","CVE-2026-6791","Medium"
"libc-bin","2.42-17","CVE-2019-1010025","Negligible"
"libc-gconv-modules-extra","2.42-17","CVE-2019-1010025","Negligible"
"libc6","2.42-17","CVE-2019-1010025","Negligible"
"libgssapi-krb5-2","1.22.1-3","CVE-2018-5709","Negligible"
"libk5crypto3","1.22.1-3","CVE-2018-5709","Negligible"
"libkrb5-3","1.22.1-3","CVE-2018-5709","Negligible"
"libkrb5support0","1.22.1-3","CVE-2018-5709","Negligible"
"perl-base","5.42.2-3","CVE-2026-15534","Unknown"
"tar","1.35+dfsg-4","CVE-2026-18508","Medium"
"libbz2-1.0","1.0.8-6+b2","CVE-2026-42250","Medium"
"apt","3.3.1","CVE-2011-3374","Negligible"
"libapt-pkg7.0","3.3.1","CVE-2011-3374","Negligible"
"gzip","1.13-1","CVE-2026-41991","Medium"
"libgssapi-krb5-2","1.22.1-3","CVE-2024-26461","Negligible"
"libk5crypto3","1.22.1-3","CVE-2024-26461","Negligible"
"libkrb5-3","1.22.1-3","CVE-2024-26461","Negligible"
"libkrb5support0","1.22.1-3","CVE-2024-26461","Negligible"
"libsystemd0","261.2-1","CVE-2026-40228","Low"
"libudev1","261.2-1","CVE-2026-40228","Low"
"tar","1.35+dfsg-4","CVE-2026-18477","Medium"
"login.defs","1:4.19.3-2","CVE-2007-5686","Negligible"
"passwd","1:4.19.3-2","CVE-2007-5686","Negligible"
"libgssapi-krb5-2","1.22.1-3","CVE-2024-26458","Negligible"
"libk5crypto3","1.22.1-3","CVE-2024-26458","Negligible"
"libkrb5-3","1.22.1-3","CVE-2024-26458","Negligible"
"libkrb5support0","1.22.1-3","CVE-2024-26458","Negligible"
"libc-bin","2.42-17","CVE-2026-6368","Low"
"libc-gconv-modules-extra","2.42-17","CVE-2026-6368","Low"
"libc6","2.42-17","CVE-2026-6368","Low"
"perl-base","5.42.2-3","CVE-2011-4116","Negligible"
"libsystemd0","261.2-1","CVE-2013-4392","Negligible"
"libudev1","261.2-1","CVE-2013-4392","Negligible"
"bsdutils","1:2.42.2-2","CVE-2022-0563","Negligible"
"libblkid1","2.42.2-2","CVE-2022-0563","Negligible"
"libmount1","2.42.2-2","CVE-2022-0563","Negligible"
"libsmartcols1","2.42.2-2","CVE-2022-0563","Negligible"
"libuuid1","2.42.2-2","CVE-2022-0563","Negligible"
"login","1:4.16.0-2+really2.42.2-2","CVE-2022-0563","Negligible"
"mount","2.42.2-2","CVE-2022-0563","Negligible"
"util-linux","2.42.2-2","CVE-2022-0563","Negligible"
"libldap2","2.6.13+dfsg-1+b1","CVE-2017-14159","Negligible"
"libsystemd0","261.2-1","CVE-2023-31439","Negligible"
"libudev1","261.2-1","CVE-2023-31439","Negligible"
"coreutils","9.10-1","CVE-2017-18018","Negligible"
"libsystemd0","261.2-1","CVE-2023-31437","Negligible"
"libudev1","261.2-1","CVE-2023-31437","Negligible"
"libsystemd0","261.2-1","CVE-2023-31438","Negligible"
"libudev1","261.2-1","CVE-2023-31438","Negligible"
"diffutils","1:3.12-1","CVE-2026-53910","Negligible"
"coreutils","9.10-1","CVE-2025-5278","Negligible"
"coreutils","9.10-1","CVE-2026-56392","Negligible"
"coreutils","9.10-1","CVE-2026-56391","Negligible"
"libldap2","2.6.13+dfsg-1+b1","CVE-2026-22185","Negligible"
"bsdutils","1:2.42.2-2","CVE-2026-53615","Unknown"
"libblkid1","2.42.2-2","CVE-2026-53615","Unknown"
"libmount1","2.42.2-2","CVE-2026-53615","Unknown"
"libsmartcols1","2.42.2-2","CVE-2026-53615","Unknown"
"libuuid1","2.42.2-2","CVE-2026-53615","Unknown"
"login","1:4.16.0-2+really2.42.2-2","CVE-2026-53615","Unknown"
"mount","2.42.2-2","CVE-2026-53615","Unknown"
"util-linux","2.42.2-2","CVE-2026-53615","Unknown"
