"Package","Version Installed","Vulnerability ID","Severity"
"libgnutls30t64","3.8.9-3+deb13u4","CVE-2011-3389","Negligible"
"curl","8.14.1-2+deb13u5","CVE-2026-9079","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-9079","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-10536","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-10536","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-19931","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-19931","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-11856","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-11856","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-18924","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-18924","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-8924","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-8924","Critical"
"libssh2-1t64","1.11.1-1+deb13u2","CVE-2026-66033","High"
"libc-bin","2.41-12+deb13u4","CVE-2026-5450","Critical"
"libc6","2.41-12+deb13u4","CVE-2026-5450","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-80229","High"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-80229","High"
"curl","8.14.1-2+deb13u5","CVE-2026-8927","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-8927","Critical"
"perl-base","5.40.1-6+deb13u1","CVE-2026-8376","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-8926","Critical"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-8926","Critical"
"perl-base","5.40.1-6+deb13u1","CVE-2026-13221","Critical"
"perl-base","5.40.1-6+deb13u1","CVE-2026-42496","Critical"
"curl","8.14.1-2+deb13u5","CVE-2026-80255","High"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-80255","High"
"curl","8.14.1-2+deb13u5","CVE-2026-13608","High"
"libcurl4t64","8.14.1-2+deb13u5","CVE-2026-13608","High"
"libssh2-1t64","1.11.1-1+deb13u2","CVE-2026-66032","High"
"libssh2-1t64","1.11.1-1+deb13u2","CVE-2026-66035","High"
