"Package","Version Installed","Vulnerability ID","Severity"
"login","1:4.13+dfsg1-1+deb12u1","CVE-2024-56433","Low"
"passwd","1:4.13+dfsg1-1+deb12u1","CVE-2024-56433","Low"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2023-2953","High"
"perl-base","5.36.0-7+deb12u2","CVE-2023-31484","High"
"libgnutls30","3.7.9-2+deb12u5","CVE-2011-3389","Negligible"
"tar","1.34+dfsg-1.2+deb12u1","CVE-2005-2541","Negligible"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2017-17740","Negligible"
"libc-bin","2.36-9+deb12u10","CVE-2018-20796","Negligible"
"libc6","2.36-9+deb12u10","CVE-2018-20796","Negligible"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2015-3276","Negligible"
"apt","2.6.1","CVE-2011-3374","Negligible"
"libapt-pkg6.0","2.6.1","CVE-2011-3374","Negligible"
"dpkg","1.21.22","CVE-2025-6297","High"
"libgcrypt20","1.10.1-3","CVE-2018-6829","Negligible"
"curl","7.88.1-10+deb12u12","CVE-2025-0725","Negligible"
"libcurl4","7.88.1-10+deb12u12","CVE-2025-0725","Negligible"
"libpam-modules","1.5.2-6+deb12u1","CVE-2024-22365","Medium"
"libpam-modules-bin","1.5.2-6+deb12u1","CVE-2024-22365","Medium"
"libpam-runtime","1.5.2-6+deb12u1","CVE-2024-22365","Medium"
"libpam0g","1.5.2-6+deb12u1","CVE-2024-22365","Medium"
"libc-bin","2.36-9+deb12u10","CVE-2019-1010023","Negligible"
"libc6","2.36-9+deb12u10","CVE-2019-1010023","Negligible"
"libtinfo6","6.4-4","CVE-2023-50495","Medium"
"ncurses-base","6.4-4","CVE-2023-50495","Medium"
"ncurses-bin","6.4-4","CVE-2023-50495","Medium"
"libgssapi-krb5-2","1.20.1-2+deb12u3","CVE-2025-3576","Medium"
"libk5crypto3","1.20.1-2+deb12u3","CVE-2025-3576","Medium"
"libkrb5-3","1.20.1-2+deb12u3","CVE-2025-3576","Medium"
"libkrb5support0","1.20.1-2+deb12u3","CVE-2025-3576","Medium"
"libgssapi-krb5-2","1.20.1-2+deb12u3","CVE-2018-5709","Negligible"
"libk5crypto3","1.20.1-2+deb12u3","CVE-2018-5709","Negligible"
"libkrb5-3","1.20.1-2+deb12u3","CVE-2018-5709","Negligible"
"libkrb5support0","1.20.1-2+deb12u3","CVE-2018-5709","Negligible"
"perl-base","5.36.0-7+deb12u2","CVE-2023-31486","Negligible"
"libpam-modules","1.5.2-6+deb12u1","CVE-2025-6020","High"
"libpam-modules-bin","1.5.2-6+deb12u1","CVE-2025-6020","High"
"libpam-runtime","1.5.2-6+deb12u1","CVE-2025-6020","High"
"libpam0g","1.5.2-6+deb12u1","CVE-2025-6020","High"
