"Package","Version Installed","Vulnerability ID","Severity"
"libdb5.3","5.3.28+dfsg1-0.8","CVE-2019-8457","Critical"
"login","1:4.8.1-1+deb11u1","CVE-2024-56433","Low"
"passwd","1:4.8.1-1+deb11u1","CVE-2024-56433","Low"
"libldap-2.4-2","2.4.57+dfsg-3+deb11u1","CVE-2023-2953","High"
"libc-bin","2.31-13+deb11u13","CVE-2023-4806","Medium"
"libc6","2.31-13+deb11u13","CVE-2023-4806","Medium"
"libgcrypt20","1.8.7-6","CVE-2021-33560","High"
"libgnutls30","3.7.1-5+deb11u8","CVE-2011-3389","Negligible"
"curl","7.74.0-1.3+deb11u15","CVE-2024-9681","Medium"
"libcurl4","7.74.0-1.3+deb11u15","CVE-2024-9681","Medium"
"libc-bin","2.31-13+deb11u13","CVE-2023-4813","Medium"
"libc6","2.31-13+deb11u13","CVE-2023-4813","Medium"
"tar","1.34+dfsg-1+deb11u1","CVE-2005-2541","Negligible"
"libldap-2.4-2","2.4.57+dfsg-3+deb11u1","CVE-2017-17740","Negligible"
"libc-bin","2.31-13+deb11u13","CVE-2018-20796","Negligible"
"libc6","2.31-13+deb11u13","CVE-2018-20796","Negligible"
"libldap-2.4-2","2.4.57+dfsg-3+deb11u1","CVE-2015-3276","Negligible"
"curl","7.74.0-1.3+deb11u15","CVE-2023-23914","Critical"
"libcurl4","7.74.0-1.3+deb11u15","CVE-2023-23914","Critical"
"apt","2.2.4","CVE-2011-3374","Negligible"
"libapt-pkg6.0","2.2.4","CVE-2011-3374","Negligible"
"curl","7.74.0-1.3+deb11u15","CVE-2022-42916","High"
"libcurl4","7.74.0-1.3+deb11u15","CVE-2022-42916","High"
"libzstd1","1.4.8+dfsg-2.1","CVE-2022-4899","High"
"dpkg","1.20.13","CVE-2025-6297","High"
"libgcrypt20","1.8.7-6","CVE-2018-6829","Negligible"
"curl","7.74.0-1.3+deb11u15","CVE-2025-0725","Negligible"
"libcurl4","7.74.0-1.3+deb11u15","CVE-2025-0725","Negligible"
"libpam-modules","1.4.0-9+deb11u1","CVE-2024-22365","Medium"
"libpam-modules-bin","1.4.0-9+deb11u1","CVE-2024-22365","Medium"
"libpam-runtime","1.4.0-9+deb11u1","CVE-2024-22365","Medium"
"libpam0g","1.4.0-9+deb11u1","CVE-2024-22365","Medium"
"bash","5.1-2+deb11u1","CVE-2022-3715","High"
"libc-bin","2.31-13+deb11u13","CVE-2019-1010023","Negligible"
"libc6","2.31-13+deb11u13","CVE-2019-1010023","Negligible"
"curl","7.74.0-1.3+deb11u15","CVE-2023-46219","Medium"
"libcurl4","7.74.0-1.3+deb11u15","CVE-2023-46219","Medium"
"libtinfo6","6.2+20201114-2+deb11u2","CVE-2023-50495","Medium"
"ncurses-base","6.2+20201114-2+deb11u2","CVE-2023-50495","Medium"
"ncurses-bin","6.2+20201114-2+deb11u2","CVE-2023-50495","Medium"
"libgssapi-krb5-2","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"libk5crypto3","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"libkrb5-3","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"libkrb5support0","1.18.3-6+deb11u7","CVE-2018-5709","Negligible"
"perl-base","5.32.1-4+deb11u4","CVE-2023-31486","Negligible"
"libpam-modules","1.4.0-9+deb11u1","CVE-2025-6020","High"
"libpam-modules-bin","1.4.0-9+deb11u1","CVE-2025-6020","High"
"libpam-runtime","1.4.0-9+deb11u1","CVE-2025-6020","High"
"libpam0g","1.4.0-9+deb11u1","CVE-2025-6020","High"
"libpcre3","2:8.39-13","CVE-2017-7245","Negligible"
"coreutils","8.32-4+b1","CVE-2016-2781","Low"
"libc-bin","2.31-13+deb11u13","CVE-2019-1010024","Negligible"
"libc6","2.31-13+deb11u13","CVE-2019-1010024","Negligible"
"libc-bin","2.31-13+deb11u13","CVE-2010-4756","Negligible"
"libc6","2.31-13+deb11u13","CVE-2010-4756","Negligible"
"curl","7.74.0-1.3+deb11u15","CVE-2021-22922","Negligible"
"libcurl4","7.74.0-1.3+deb11u15","CVE-2021-22922","Negligible"
"libldap-2.4-2","2.4.57+dfsg-3+deb11u1","CVE-2020-15719","Negligible"
"libpcre3","2:8.39-13","CVE-2017-7246","Negligible"
"login","1:4.8.1-1+deb11u1","CVE-2007-5686","Negligible"
"passwd","1:4.8.1-1+deb11u1","CVE-2007-5686","Negligible"
"libpam-modules","1.4.0-9+deb11u1","CVE-2024-10041","Medium"
"libpam-modules-bin","1.4.0-9+deb11u1","CVE-2024-10041","Medium"
"libpam-runtime","1.4.0-9+deb11u1","CVE-2024-10041","Medium"
"libpam0g","1.4.0-9+deb11u1","CVE-2024-10041","Medium"
"libgcrypt20","1.8.7-6","CVE-2024-2236","Negligible"
"libpcre3","2:8.39-13","CVE-2019-20838","Negligible"
