"Package","Version Installed","Vulnerability ID","Severity"
"login.defs","1:4.17.4-2","CVE-2024-56433","Low"
"passwd","1:4.17.4-2","CVE-2024-56433","Low"
"libldap2","2.6.10+dfsg-1","CVE-2017-17740","Negligible"
"libgnutls30t64","3.8.9-3+deb13u2","CVE-2011-3389","Negligible"
"tar","1.35+dfsg-3.1","CVE-2005-2541","Negligible"
"libldap2","2.6.10+dfsg-1","CVE-2015-3276","Negligible"
"apt","3.0.3","CVE-2011-3374","Negligible"
"libapt-pkg7.0","3.0.3","CVE-2011-3374","Negligible"
"libc-bin","2.41-12+deb13u2","CVE-2018-20796","Negligible"
"libc6","2.41-12+deb13u2","CVE-2018-20796","Negligible"
"libgssapi-krb5-2","1.21.3-5","CVE-2018-5709","Negligible"
"libk5crypto3","1.21.3-5","CVE-2018-5709","Negligible"
"libkrb5-3","1.21.3-5","CVE-2018-5709","Negligible"
"libkrb5support0","1.21.3-5","CVE-2018-5709","Negligible"
"libtasn1-6","4.20.0-2","CVE-2025-13151","High"
"libc-bin","2.41-12+deb13u2","CVE-2019-1010025","Negligible"
"libc6","2.41-12+deb13u2","CVE-2019-1010025","Negligible"
"libc-bin","2.41-12+deb13u2","CVE-2019-9192","Negligible"
"libc6","2.41-12+deb13u2","CVE-2019-9192","Negligible"
"curl","8.14.1-2+deb13u2","CVE-2026-1965","Medium"
"libcurl4t64","8.14.1-2+deb13u2","CVE-2026-1965","Medium"
"libtinfo6","6.5+20250216-2","CVE-2025-6141","Medium"
"ncurses-base","6.5+20250216-2","CVE-2025-6141","Medium"
"ncurses-bin","6.5+20250216-2","CVE-2025-6141","Medium"
"libc-bin","2.41-12+deb13u2","CVE-2026-4046","High"
"libc-bin","2.41-12+deb13u2","CVE-2026-4437","High"
"libc6","2.41-12+deb13u2","CVE-2026-4046","High"
"libc6","2.41-12+deb13u2","CVE-2026-4437","High"
"bsdutils","1:2.41-5","CVE-2026-3184","Low"
"libblkid1","2.41-5","CVE-2026-3184","Low"
"liblastlog2-2","2.41-5","CVE-2026-3184","Low"
"libmount1","2.41-5","CVE-2026-3184","Low"
"libsmartcols1","2.41-5","CVE-2026-3184","Low"
"libuuid1","2.41-5","CVE-2026-3184","Low"
"login","1:4.16.0-2+really2.41-5","CVE-2026-3184","Low"
"mount","2.41-5","CVE-2026-3184","Low"
"util-linux","2.41-5","CVE-2026-3184","Low"
"libc-bin","2.41-12+deb13u2","CVE-2019-1010024","Negligible"
"libc6","2.41-12+deb13u2","CVE-2019-1010024","Negligible"
"curl","8.14.1-2+deb13u2","CVE-2026-3805","High"
"libcurl4t64","8.14.1-2+deb13u2","CVE-2026-3805","High"
"liblzma5","5.8.1-1","CVE-2026-34743","Medium"
"curl","8.14.1-2+deb13u2","CVE-2025-14819","Medium"
"libcurl4t64","8.14.1-2+deb13u2","CVE-2025-14819","Medium"
"libc-bin","2.41-12+deb13u2","CVE-2010-4756","Negligible"
"libc6","2.41-12+deb13u2","CVE-2010-4756","Negligible"
"libc-bin","2.41-12+deb13u2","CVE-2026-4438","Medium"
"libc6","2.41-12+deb13u2","CVE-2026-4438","Medium"
"libtinfo6","6.5+20250216-2","CVE-2025-69720","High"
"ncurses-base","6.5+20250216-2","CVE-2025-69720","High"
"ncurses-bin","6.5+20250216-2","CVE-2025-69720","High"
